Seq_ID,CST_11,CST,SilhouetteValues,LactobacillusPercentage,LDominant_CST,LDominant_RelAbundance
G242,I,I,0.884463160935852,99.93236578836128,LDominant,LDominant
G306,I,I,0.8847860897815596,99.97791860798905,LDominant,LDominant
G349,V - Mix L.iners,V,0.690790680832556,99.3486788542669,LDominant,LDominant
G396,V - Mix L.iners,V,-0.12698715998683652,99.77508269018743,LDominant,LDominant
G522,V - Mix L.iners,V,0.3065648769878015,99.92760617760618,LDominant,LDominant
G371,IV - Gardnerella + L. iners,IV,0.33952031370216107,34.60723419802704,LDepleted,LDepleted
G397,IV - Gardnerella + L. iners,IV,0.28910919631652865,25.937183383991897,LDepleted,LDepleted
G410,III,III,0.642423037262084,97.03664666774769,LDominant,LDominant
G317,IV - Gardnerella + L. gasseri,IV,0.6153419135965688,54.40455479993675,LDepleted,LDepleted
G403,I,I,0.8697904682058829,99.92362423121759,LDominant,LDominant
G347,III,III,0.7383554538154553,99.97437211686314,LDominant,LDominant
G413,I,I,0.8776590790368173,99.95035989079176,LDominant,LDominant
G473,IV - Gardnerella + L. gasseri,IV,0.5427044059439018,38.90177272905939,LDepleted,LDepleted
G469,IV - Gardnerella + L. gasseri,IV,0.6426462001710852,43.77650869986308,LDepleted,LDepleted
G465,IV - Gardnerella + L. gasseri,IV,0.6016756294874719,38.49351513136016,LDepleted,LDepleted
G439,I,I,-0.3311074869648144,70.55805003207183,LDominant,LDepleted
G404,I,I,-0.22963797294113336,45.25397083536619,LDominant,LDepleted
G432,I,I,0.8755580363184805,99.71213357002351,LDominant,LDominant
G251,I,I,0.873198693101107,99.91915925626516,LDominant,LDominant
G114,I,I,0.8669186790161122,99.78940621709472,LDominant,LDominant
G247,I,I,0.8735282876962575,99.99689286602037,LDominant,LDominant
G150,V - Mix L.iners,V,0.34309245153108364,99.99762312226659,LDominant,LDominant
G188,V - Mix L.iners,V,0.1618052953164744,99.96096522356281,LDominant,LDominant
G073,V - Mix L.iners,V,0.22419425205961563,99.97027083271398,LDominant,LDominant
G130,V - Mix L.iners,V,0.3244677229789672,99.95456610631531,LDominant,LDominant
G141,V - Mix L.iners,V,0.5925617021839118,99.88388595019997,LDominant,LDominant
G367,III,III,0.737837088904967,99.98768169499877,LDominant,LDominant
G425,III,III,0.7382862148648102,99.97439617649569,LDominant,LDominant
G365,III,III,0.695490466975759,99.52800503461296,LDominant,LDominant
G322,III,III,0.7200185401142895,99.60258634284813,LDominant,LDominant
G470,II - L.gasseri + Atopobium,II,0.34751858145696213,0.030780280100548913,LDominant,LDepleted
G491,II - L.gasseri + Atopobium,II,0.36258164778858504,0.10674835236238744,LDominant,LDepleted
G482,II - L.gasseri + Atopobium,II,0.3621798621029595,0.009811616954474097,LDominant,LDepleted
G180,I,I,0.7340031065803352,97.57024184173967,LDominant,LDominant
G093,I,I,0.8671390126582864,99.4895065229722,LDominant,LDominant
G263,I,I,0.6807692301048246,99.93552004485562,LDominant,LDominant
G256,III,III,0.4996298870639614,89.69213984156349,LDominant,LDominant
